1.00000000	0.00000000
0.99923676	0.00012333
0.99680584	0.00049225
0.99276284	0.00110319
0.98712051	0.00195036
0.97989669	0.00302575
0.97111424	0.00431936
0.96080097	0.00581930
0.94898961	0.00751200
0.93571768	0.00938246
0.92102743	0.01141438
0.90496570	0.01359048
0.88758380	0.01589260
0.86893737	0.01830199
0.84908619	0.02079941
0.82809403	0.02336533
0.80602845	0.02598004
0.78296056	0.02862374
0.75896485	0.03127664
0.73411894	0.03391903
0.70850329	0.03653127
0.68220102	0.03909391
0.65529759	0.04158766
0.62788054	0.04399345
0.60003924	0.04629250
0.57186458	0.04846636
0.54344865	0.05049699
0.51488453	0.05236692
0.48626587	0.05405936
0.45768671	0.05555835
0.42924106	0.05684899
0.40102265	0.05791763
0.37312457	0.05875209
0.34563899	0.05934187
0.31865681	0.05967843
0.29215546	0.05974442
0.26607621	0.05936306
0.24078100	0.05848963
0.21635934	0.05714876
0.19289741	0.05536985
0.17047762	0.05318658
0.14917815	0.05063639
0.12907261	0.04775984
0.11022963	0.04459994
0.09271262	0.04120135
0.07657954	0.03760956
0.06188270	0.03387009
0.04866865	0.03002756
0.03697811	0.02612486
0.02684594	0.02220230
0.01830115	0.01829684
0.01136693	0.01444135
0.00606073	0.01066396
0.00239432	0.00698752
0.00037387	0.00342916
0.00000000	0.00000000
0.00125703	-0.00321126
0.00412395	-0.00612169
0.00858544	-0.00873286
0.01462116	-0.01104859
0.02220588	-0.01307494
0.03130969	-0.01482025
0.04189823	-0.01629516
0.05393292	-0.01751261
0.06737122	-0.01848792
0.08216693	-0.01923873
0.09827039	-0.01978501
0.11562876	-0.02014896
0.13418625	-0.02035495
0.15388428	-0.02042932
0.17466165	-0.02040018
0.19645471	-0.02029715
0.21919744	-0.02015100
0.24282154	-0.01999329
0.26725646	-0.01985591
0.29242952	-0.01977059
0.31853549	-0.01970676
0.34534401	-0.01951106
0.37265710	-0.01918620
0.40038689	-0.01874604
0.42844410	-0.01820480
0.45673828	-0.01757676
0.48517807	-0.01687600
0.51367153	-0.01611611
0.54212636	-0.01531000
0.57045026	-0.01446969
0.59855122	-0.01360621
0.62633779	-0.01272947
0.65371941	-0.01184827
0.68060669	-0.01097026
0.70691172	-0.01010203
0.73254839	-0.00924916
0.75743261	-0.00841638
0.78148266	-0.00760765
0.80461943	-0.00682631
0.82676670	-0.00607524
0.84785138	-0.00535702
0.86780377	-0.00467397
0.88655781	-0.00402833
0.90405129	-0.00342231
0.92022610	-0.00285812
0.93502840	-0.00233805
0.94840882	-0.00186438
0.96032268	-0.00143945
0.97073012	-0.00106552
0.97959628	-0.00074480
0.98689141	-0.00047930
0.99259100	-0.00027079
0.99667589	-0.00012075
0.99913234	-0.00003028
1.00000000	0.00000000
